date,time_interval,quantity
1/26/23,6,40
1/26/23,7,95
1/26/23,8,221
1/26/23,9,342
1/26/23,10,372
1/26/23,11,321
1/26/23,12,290
1/26/23,13,267
1/26/23,14,254
1/26/23,15,240
1/26/23,16,265
1/26/23,17,248
1/26/23,18,256
1/26/23,19,276
1/26/23,20,209
1/26/23,21,164
1/26/23,22,79
1/26/23,23,26
1/26/23,24,1
1/27/23,0,12
1/27/23,1,9
1/27/23,2,14
1/27/23,3,13
1/27/23,4,3
1/27/23,5,14
1/27/23,6,46
1/27/23,7,77
1/27/23,8,223
1/27/23,9,348
1/27/23,10,334
1/27/23,11,367
1/27/23,12,336
1/27/23,13,294
1/27/23,14,274
1/27/23,15,246
1/27/23,16,260
1/27/23,17,250
1/27/23,18,253
1/27/23,19,261
1/27/23,20,228
1/27/23,21,179
1/27/23,22,91
1/27/23,23,43
1/27/23,24,6
1/28/23,0,16
1/28/23,1,19
1/28/23,2,7
1/28/23,3,3
1/28/23,4,10
1/28/23,5,8
1/28/23,6,28
1/28/23,7,74
1/28/23,8,160
1/28/23,9,324
1/28/23,10,342
1/28/23,11,363
1/28/23,12,353
1/28/23,13,221
1/28/23,14,291
1/28/23,15,283
1/28/23,16,251
1/28/23,17,304
1/28/23,18,243
1/28/23,19,218
1/28/23,20,180
1/28/23,21,142
1/28/23,22,82
1/28/23,23,40
1/28/23,24,6
1/29/23,0,20
1/29/23,1,24
1/29/23,2,11
1/29/23,3,10
1/29/23,4,4
1/29/23,5,6
1/29/23,6,17
1/29/23,7,44
1/29/23,8,136
1/29/23,9,290
1/29/23,10,334
1/29/23,11,405
1/29/23,12,369
1/29/23,13,345
1/29/23,14,278
1/29/23,15,272
1/29/23,16,311
1/29/23,17,275
1/29/23,18,263
1/29/23,19,214
1/29/23,20,167
1/29/23,21,132
1/29/23,22,73
1/29/23,23,31
1/29/23,24,5
1/30/23,0,19
1/30/23,1,14
1/30/23,2,9
1/30/23,3,10
1/30/23,4,8
1/30/23,5,17
1/30/23,6,36
1/30/23,7,75
1/30/23,8,181
1/30/23,9,335
1/30/23,10,353
1/30/23,11,375
1/30/23,12,360
1/30/23,13,297
1/30/23,14,233
1/30/23,15,224
1/30/23,16,251
1/30/23,17,274
1/30/23,18,274
1/30/23,19,268
1/30/23,20,213
1/30/23,21,155
1/30/23,22,93
1/30/23,23,28
1/30/23,24,2
1/31/23,0,7
1/31/23,1,11
1/31/23,2,9
1/31/23,3,6
1/31/23,4,8
1/31/23,5,11
1/31/23,6,28
1/31/23,7,88
1/31/23,8,189
1/31/23,9,319
1/31/23,10,357
1/31/23,11,343
1/31/23,12,310
1/31/23,13,256
1/31/23,14,262
1/31/23,15,261
1/31/23,16,261
1/31/23,17,283
1/31/23,18,315
1/31/23,19,357
1/31/23,20,237
1/31/23,21,185
1/31/23,22,94
1/31/23,23,39
1/31/23,24,7
2/1/23,0,6
2/1/23,1,15
2/1/23,2,10
2/1/23,3,8
2/1/23,4,15
2/1/23,5,14
2/1/23,6,34
