date,time_interval,quantity
2023-05-29,13,294.0
2023-05-29,14,248.0
2023-05-29,15,256.0
2023-05-29,16,228.0
2023-05-29,17,232.0
2023-05-29,18,268.0
2023-05-29,19,350.0
2023-05-29,20,320.0
2023-05-29,21,255.0
2023-05-29,22,139.0
2023-05-29,23,40.0
2023-05-29,24,12.0
2023-05-30,0,31.0
2023-05-30,1,12.0
2023-05-30,2,5.0
2023-05-30,3,7.0
2023-05-30,4,11.0
2023-05-30,5,22.0
2023-05-30,6,61.0
2023-05-30,7,135.0
2023-05-30,8,252.0
2023-05-30,9,361.0
2023-05-30,10,411.0
2023-05-30,11,399.0
2023-05-30,12,343.0
2023-05-30,13,319.0
2023-05-30,14,268.0
2023-05-30,15,246.0
2023-05-30,16,249.0
2023-05-30,17,269.0
2023-05-30,18,291.0
2023-05-30,19,338.0
2023-05-30,20,291.0
2023-05-30,21,247.0
2023-05-30,22,115.0
2023-05-30,23,54.0
2023-05-30,24,3.0
2023-05-31,0,20.0
2023-05-31,1,13.0
2023-05-31,2,10.0
2023-05-31,3,6.0
2023-05-31,4,5.0
2023-05-31,5,19.0
2023-05-31,6,47.0
2023-05-31,7,141.0
2023-05-31,8,283.0
2023-05-31,9,404.0
2023-05-31,10,425.0
2023-05-31,11,182.0
2023-05-31,12,450.0
2023-05-31,13,403.0
2023-05-31,14,140.0
2023-05-31,15,274.0
2023-05-31,16,302.0
2023-05-31,17,275.0
2023-05-31,18,323.0
2023-05-31,19,315.0
2023-05-31,20,305.0
2023-05-31,21,270.0
2023-05-31,22,139.0
2023-05-31,23,63.0
2023-05-31,24,7.0
2023-06-01,0,25.0
2023-06-01,1,10.0
2023-06-01,2,10.0
2023-06-01,3,7.0
2023-06-01,4,14.0
2023-06-01,5,32.0
2023-06-01,6,53.0
2023-06-01,7,109.0
2023-06-01,8,281.0
2023-06-01,9,378.0
2023-06-01,10,389.0
2023-06-01,11,401.0
2023-06-01,12,343.0
2023-06-01,13,317.0
2023-06-01,14,269.0
2023-06-01,15,253.0
2023-06-01,16,230.0
2023-06-01,17,253.0
2023-06-01,18,260.0
2023-06-01,19,320.0
2023-06-01,20,339.0
2023-06-01,21,242.0
2023-06-01,22,131.0
2023-06-01,23,48.0
2023-06-01,24,7.0
2023-06-02,0,22.0
2023-06-02,1,10.0
2023-06-02,2,6.0
2023-06-02,3,11.0
2023-06-02,4,11.0
2023-06-02,5,27.0
2023-06-02,6,48.0
2023-06-02,7,132.0
2023-06-02,8,261.0
2023-06-02,9,401.0
2023-06-02,10,420.0
2023-06-02,11,98.0
2023-06-02,12,173.0
2023-06-02,13,348.0
2023-06-02,14,244.0
2023-06-02,15,274.0
2023-06-02,16,288.0
2023-06-02,17,285.0
2023-06-02,18,372.0
2023-06-02,19,372.0
2023-06-02,20,282.0
2023-06-02,21,242.0
2023-06-02,22,120.0
2023-06-02,23,53.0
2023-06-02,24,12.0
2023-06-03,0,35.0
2023-06-03,1,13.0
2023-06-03,2,3.0
2023-06-03,3,3.0
2023-06-03,4,3.0
2023-06-03,5,14.0
2023-06-03,6,40.0
2023-06-03,7,109.0
2023-06-03,8,217.0
2023-06-03,9,404.0
2023-06-03,10,502.0
2023-06-03,11,182.0
2023-06-03,12,457.0
2023-06-03,13,261.0
2023-06-03,14,424.0
2023-06-03,15,185.0
2023-06-03,16,323.0
2023-06-03,17,295.0
2023-06-03,18,243.0
2023-06-03,19,289.0
2023-06-03,20,236.0
